level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	16	1	1	2	155	373	13	9	96.890625	to
5	1	16	1	1	3	172	375	26	7	96.569153	save
5	1	16	1	1	4	203	373	45	13	96.569153	exports
5	1	16	1	1	5	252	373	12	9	96.830025	to
5	1	16	1	1	6	268	371	20	11	96.860435	the
5	1	16	1	1	7	292	371	55	11	96.876114	database
5	1	16	1	1	8	352	371	21	11	96.957611	and
5	1	16	1	1	9	378	375	39	7	90.394722	access
5	1	16	1	1	10	422	371	50	11	95.498138	backend
5	1	16	1	1	11	476	373	40	13	96.883492	export
5	1	16	1	1	12	520	371	53	11	95.202240	features.
2	1	17	0	0	0	63	399	1154	1	-1	
3	1	17	1	0	0	63	399	1154	1	-1	
4	1	17	1	1	0	63	399	1154	1	-1	
5	1	17	1	1	1	63	399	1154	1	95.000000	 
2	1	18	0	0	0	572	465	23	7	-1	
3	1	18	1	0	0	572	465	23	7	-1	
4	1	18	1	1	0	572	465	23	7	-1	
5	1	18	1	1	1	572	465	23	7	95.000000	 
2	1	19	0	0	0	405	461	470	15	-1	
3	1	19	1	0	0	405	461	470	15	-1	
4	1	19	1	1	0	405	461	470	15	-1	
5	1	19	1	1	1	405	462	55	14	85.974060	Supports
5	1	19	1	1	2	465	461	58	11	96.723190	Facebook
5	1	19	1	1	3	528	462	75	10	96.828102	Marketplace
5	1	19	1	1	4	608	461	25	11	96.854683	bulk
5	1	19	1	1	5	638	461	40	11	96.300186	upload
5	1	19	1	1	6	683	461	41	11	93.305237	format
5	1	19	1	1	7	729	466	3	3	70.388184	*
5	1	19	1	1	8	738	462	23	10	95.086151	Max
5	1	19	1	1	9	767	462	13	10	95.086151	50
5	1	19	1	1	10	786	461	42	15	96.364967	listings
5	1	19	1	1	11	834	465	16	7	96.761322	per
5	1	19	1	1	12	857	461	18	11	92.809486	file
2	1	20	0	0	0	375	489	238	9	-1	
3	1	20	1	0	0	375	489	238	9	-1	
4	1	20	1	1	0	375	489	238	9	-1	
5	1	20	1	1	1	375	489	18	9	95.742722	Not
5	1	20	1	1	2	398	489	45	9	94.397148	affiliated
5	1	20	1	1	3	448	489	21	9	96.111275	with
5	1	20	1	1	4	476	489	21	9	96.111275	Meta
5	1	20	1	1	5	504	479	50	28	96.185547	Platforms,
5	1	20	1	1	6	565	492	10	6	69.139961	Inc.
5	1	20	1	1	7	583	492	2	3	69.139961	+
5	1	20	1	1	8	590	489	23	9	85.098846	Facel
2	1	21	0	0	0	615	489	18	9	-1	
3	1	21	1	0	0	615	489	18	9	-1	
4	1	21	1	1	0	615	489	18	9	-1	
5	1	21	1	1	1	615	489	18	9	95.000000	 
2	1	22	0	0	0	635	489	267	12	-1	
3	1	22	1	0	0	635	489	267	12	-1	
4	1	22	1	1	0	635	489	267	12	-1	
5	1	22	1	1	1	635	489	10	9	35.694893	kis
5	1	22	1	1	2	663	492	4	6	67.928253	a
5	1	22	1	1	3	672	492	15	9	96.261345	registered
5	1	22	1	1	4	692	489	134	9	96.894897	trademark
5	1	22	1	1	5	787	479	10	28	96.972176	of
5	1	22	1	1	6	803	479	22	28	93.588394	Meta
5	1	22	1	1	7	831	489	50	9	94.038567	Platforms,
5	1	22	1	1	8	892	492	10	6	67.824081	Inc
2	1	23	0	0	0	52	737	202	16	-1	
